Priority,Shop,Company,Category,City,Named owner/director,Public business email,Public phone,Website,Legal/contact source,Useful personalization hook,Potential service angle,Qualification / caveat,Research date,Outreach status
A,Pfeffersack & Soehne,P&S GmbH & Co. KG,Spices and gourmet food,Koblenz,Raphael Fritz; Christian Ganser; Stefan Ternes; Thomas Winkler,hallo@pfeffersackundsoehne.de,+49 261 98849750,https://pfeffersackundsoehne.de/,https://pfeffersackundsoehne.de/pages/kontakt-impressum,"Premium spice specialist publishes kitchen inspiration and recipes and has operated since 2011.","Add recipe-to-cart functionality, seasonal gift sets, better merchandising, and replenishment automation.","Good product/content fit; company has several managing directors, so ask for e-commerce responsibility.",2026-06-15,Not contacted
A,nucao,the nu company GmbH,Sustainable chocolate and snacks,Leipzig,Christian Fenner; Mathias Tholey,info@the-nu-company.com,,https://nucao.de/,https://nucao.de/policies/legal-notice,"Mission-led chocolate brand combines sustainability, impulse products, bundles, and repeat-purchase potential.","Optimize bundles and gifting, subscription/replenishment flows, impact storytelling, and campaign landing pages.","Established growth brand; keep initial proposal specific and commercially grounded.",2026-06-15,Not contacted
A,koawach,koakult GmbH,Cocoa and caffeinated drinks,Berlin,Daniel Felipe Duarte Torres,info@koawach.de,+49 30 232566360,https://koawach.de/,https://koawach.de/policies/legal-notice,"Organic cocoa brand has a differentiated caffeine proposition and products suited to discovery sets and repeat purchase.","Improve product education, trial-to-repeat journeys, bundles, subscriptions, and B2B lead generation.","Named director and business inbox; site credits an external shop-development provider, so lead with a focused gap or overflow support.",2026-06-15,Not contacted
B,GOT BAG,GOT BAG GmbH,Sustainable bags and luggage,Mainz,Benjamin Mandos; Martin Keiffenheim,hello@got-bag.com,,https://got-bag.com/,https://got-bag.com/pages/legal-notice,"Strong impact-led bag brand with broad product assortment and clear sustainability positioning.","Improve product comparison, impact storytelling, travel/use-case merchandising, and retention automation.","Larger established brand; likely higher-value but harder to reach.",2026-06-15,Not contacted
B,PAPER & TEA,P&T Paper & Tea GmbH,Premium tea and accessories,Berlin,Marc Pohl; Marie-Luise Frickel; Stephan Hahn,wecare@paperandtea.com,+49 30 25559733,https://paperandtea.com/,https://paperandtea.com/policies/legal-notice,"Premium tea brand combines consumables, accessories, gifting, and physical retail experiences.","Build guided tea discovery, gifting flows, replenishment automation, and stronger store-to-online journeys.","Established omnichannel brand; public inbox is customer-oriented, so ask for routing.",2026-06-15,Not contacted
B,Tastillery,Tastillery Online GmbH,Spirits and tasting sets,Burgthann,Christian Braun; Kai Schmerbeck,support@tastillery.com,+49 9188 3071227,https://tastillery.com/,https://tastillery.com/policies/legal-notice,"Tasting sets and unusual spirits naturally support gift occasions, guided selection, and seasonal campaigns.","Create a gift finder, occasion landing pages, tasting-to-bottle follow-up, and lifecycle segmentation.","Only support inbox found; ask briefly for the responsible e-commerce or marketing contact.",2026-06-15,Not contacted
B,MELAWEAR,mela wear GmbH,Fair fashion and accessories,Kassel,Bernhard Weiß,info@melawear.de,,https://melawear.de/,https://melawear.de/policies/legal-notice,"Fair-fashion brand has extensive sourcing and sustainability proof that can support purchasing decisions.","Connect impact content to product discovery, improve fit/comparison UX, bundles, and retention.","Established specialist brand with named director and public inbox.",2026-06-15,Not contacted
B,Hafendieb,Hafendieb,Bags and apparel,Berlin,Martin Hagemann,info@hafendieb.de,+49 30 29352666,https://hafendieb.de/,https://hafendieb.de/pages/impressum,"Owner-operated lifestyle label with a direct contact channel and a product mix suited to collections and gifting.","Improve collection launches, product discovery, gift campaigns, and customer-retention automation.","Direct owner contact; verify current assortment and identify one concrete shop issue before outreach.",2026-06-15,Not contacted
B,meinwoody,Evolutio GmbH,Gardening and grow kits,Großheirath,Ayhan Durukan,info@meinwoody.de,+49 9565 369982510,https://meinwoody.de/,https://meinwoody.de/pages/impressum,"Grow kits and seeds create seasonal, educational, giftable, and repeat-purchase customer journeys.","Build seasonal planting guides connected to products, gift funnels, bundles, and replenishment flows.","Named director and public inbox; good content-commerce opportunity.",2026-06-15,Not contacted
B,everdrop,everdrop GmbH,Sustainable cleaning and household products,Munich,Christian Becker; David Löwe,info@everdrop.de,,https://www.everdrop.de/,https://www.everdrop.de/pages/impressum,"Large sustainable household brand actively promotes cleaning tips, early-access offers, product launches, and newsletter incentives.","Pitch a focused CRO, performance, experimentation, or automation project rather than a broad shop overhaul.","Most mature company in this list; potentially valuable but likely has an internal team and agencies.",2026-06-15,Not contacted
