Priority,Shop,Company,Category,City,Named owner/director,Public business email,Public phone,Website,Legal/contact source,Useful personalization hook,Potential service angle,Qualification / caveat,Research date,Outreach status
A,ooia,ooshi GmbH,Period underwear,Berlin,Clara Maier; Mollie Thick,info@ooia.de,,https://ooia.de/,https://ooia.de/pages/impressum,"Founder-led period-underwear brand with limited collections and a clear product mission.","Lifecycle segmentation, sizing/education funnel, and limited-collection launches.","Named founders/directors and public business inbox; established medium-size brand.",2026-06-12,Not contacted
A,erlich textil,Vorfreude GmbH,Sustainable underwear and basics,Cologne,Sarah Grohé,fraguns@erlich-textil.com,+49 221 17730060,https://erlich-textil.com/,https://erlich-textil.com/pages/impressum,"Fair basics produced in Europe and Turkey; nominated for the German Sustainability Award 2025.","Use award and sourcing proof in acquisition pages; improve bundles and lifecycle retention.","Named director and public business inbox.",2026-06-12,Not contacted
B,elbgold,elbgold Röstkaffee GmbH,Specialty coffee,Hamburg,Annika Taschinski; Thomas Kliefoth,info@elbgold.com,+49 40 23517520,https://www.elbgoldshop.com/,https://www.elbgoldshop.com/policies/legal-notice,"Specialty-coffee company founded in 2004 emphasizing fair prices, pre-financing, and long-term producer relationships.","Subscription conversion, impact-story landing pages, gifting, and B2B coffee lead generation.","Established medium-size brand; keep pitch specific and concise.",2026-06-12,Not contacted
B,OAK25,Ecom Brands GmbH,Reflective backpacks and bags,Hamburg,Timm von Dressler,info@oak25.com,+49 40 86698674,https://oak25.com/,https://oak25.com/pages/impressum,"Distinctive reflective backpacks, cycling products, bundles, outerwear, and a founder story.","Safety-focused UGC campaigns, comparison content, bundles, and cycling SEO.","Named director and public inbox; company may operate multiple brands.",2026-06-12,Not contacted
B,Lieblingsglas,Lieblingsglas GmbH,Kitchen storage and glassware,Taufkirchen,Leonie Heyden,hello@lieblingsglas.de,,https://lieblingsglas.de/,https://lieblingsglas.de/policies/legal-notice,"Reports 4.7 stars from more than 8,500 reviews and sells coordinated storage, Mason jars, bowls, and food containers.","Use review proof more deeply; organization/recipe content, bundles, and repeat purchase.","Named director; use hello@ for business proposal rather than customer-support inbox.",2026-06-12,Not contacted
B,Sperling Bags,Sperling Bags GmbH,Sustainable backpacks and bags,Bochum,Björn Sperling,service@sperling-bags.com,+49 234 93829837,https://sperling-bags.com/,https://sperling-bags.com/policies/legal-notice,"Communicates climate-neutral shipping, annual animal-welfare donations, and 4.9/5 customer service.","Founder and impact storytelling, UGC, product comparison, and gift campaigns.","Named director; only a service inbox was found, so ask for the right business contact.",2026-06-12,Not contacted
B,greenist,greenist GmbH,Vegan and organic marketplace,Hamburg,Thorsten Piontek,service@greenist.de,+49 40 47112582,https://www.greenist.de/,https://www.greenist.de/impressum,"Broad vegan and organic catalog spanning food, health, cosmetics, household items, and yoga accessories.","Improve search/filter UX, category merchandising, SEO hubs, and cross-sell.","Named director; only a service inbox was found, so request routing to management/marketing.",2026-06-12,Not contacted
B,Eulenschnitt,GOLDENZEBRA GmbH,Home decor and gifts,Hamburg,Lena Beyerbach; Felix Beyerbach,hilfe@eulenschnitt.com,+49 40 71629038,https://www.eulenschnitt.de/,https://www.eulenschnitt.de/policies/legal-notice,"Hamburg-designed gift/home brand with a blog, storefinder, strong social presence, and a dedicated B2B phone line.","Wholesale lead generation, seasonal gift SEO, retail-partner content, and email flows.","Strong brand and B2B signal; use B2B phone or ask support to route the message.",2026-06-12,Not contacted
B,femtis,Femtis Power GmbH,Period underwear,Mannheim,Rehan Choudhry,support@femtis.de,,https://femtis.de/,https://femtis.de/pages/impressum,"Promotes period-underwear bundles and products for discharge, periods, postpartum use, and bladder weakness.","Concern-based education, sizing guidance, bundle optimization, and retention.","Named director; only support inbox found, so ask for the relevant commercial contact.",2026-06-12,Not contacted
B,KORA MIKINO,KORA MIKINO / registered company HRB 202263B,Period underwear,Berlin,Julia Rittereiser,Contact form / press page,,https://koramikino.de/,https://koramikino.de/pages/impressum,"Founder-led brand with a journal, wholesale area, detailed use-case navigation, and founder-created photography.","Founder-story content, wholesale funnel, educational SEO, and sizing/conversion work.","Named director verified; no public email was visible on the legal page, so use the site's Contact/Presse route.",2026-06-12,Not contacted
